id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N3C802,load_RM,"ช่องจอดรถ รับวัตถุดิบ",Bullet,Hikvision,DS-2CD3021G0-I,,"In door",2รับวัตถุดิบ,N3,802,192.168.20.53,,Active,N3C802,,1,72.2400,37.0300
ST17,CM1-ST17,ST17,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST17,,13,16.9000,96.5600
N4C1402,Water_tredment,บ่อบำบัด,Bullet,Hikvision,,,"Out door",2สิ่งแวดล้อม,N4,1402,192.168.20.72,,Active,N4C1402,,1,79.2500,26.6500
N1C1802,FN_gb,"บรรจุกล่อง GB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929376,"In door",2แพคกิ้ง,N1,1802,192.168.20.19,,Active,N1C1802,,1,53.6500,47.2500
N1C1402,Data_center,ห้องกล้องวงจรปิด,Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929272,"In door",2เทคโนโลยีสารสนเทศ,N1,1402,192.168.20.42,,Active,N1C1402,,1,49.1800,49.9500
N4C402,Larn_Load,ลานโหลด,Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617264,"In door",2สโตร์ฯ,N4,402,192.168.20.84,,Active,N4C402,,1,65.7400,50.6300
N4C1802,dress_room_PA,"ห้องแขวนชุด แพคกิ้ง",Bullet,Hikvision,,,"In door",2แพคกิ้ง,N4,1802,192.168.20.92,,Active,N4C1802,,1,48.4400,44.2000
PR54,CM1-PR54,PR54,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR54,,13,73.0000,31.6700
N1C302,Front_Office,"ประตูใหญ่ สำนักงาน",Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463460,"In door",2บุคคลฯ,N1,302,192.168.20.4,,Active,N1C302,,1,50.7300,56.2500
RM68,CM1-RM68,RM68,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM68,,13,98.6200,33.0100
PR41,CM1-PR41,PR41,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR41,,13,48.9600,43.7000
N4C1902,Control_MC,"ห้องควบคุม เครื่องกล",Bullet,Hikvision,,,"In door",2เครื่องกล,N4,1902,192.168.20.97,,Active,N4C1902,,1,65.1500,26.7300
PA36,CM1-PA36,PA36,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA36,,13,30.8500,36.2900
PR71,CM1-PR71,PR71,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR71,,13,,
CONNETTA49,CM1-CONNETTA49,CONNETTA49,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,CONNETTA49,,13,89.7800,40.1900
N3C102,hand_wash_PR,"ล้างมือ ผลิต",Dome,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234354,"In door",2ผลิต,N3,102,192.168.20.57,,Active,N3C102,,1,76.8300,29.0700
N1C2302,Auto_detector,"ตรวจสอบโลหะ Auto",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929288,"In door",2แพคกิ้ง,N1,2302,192.168.20.26,,Active,N1C2302,,1,50.5300,32.9700
ST46,CM1-ST46,ST46,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST46,,13,14.2200,80.6500
PA27,CM1-PA27,PA27,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA27,,13,30.9800,58.8200
MC63,CM1-MC63,MC63,Bullet,Hikvision,,,"In door",1เครื่องกล,,,,,Active,MC63,,13,55.1200,42.7400
RM65,CM1-RM65,RM65,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM65,,13,89.4000,20.7500
OS08,CM1-OS08,OS08,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS08,,13,15.2400,12.0000
