id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
D4C302,Bio1,"ห้องเก็บเชื้อ Lab",Bullet,Hikvision,,,"In door",2ห้องปฏิบัติการ,D4,302,192.168.20.204,,Active,D4C302,,4,14.8900,15.2100
RM64,CM1-RM64,RM64,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM64,,13,92.2000,23.2300
RM39,CM1-RM39,RM39,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM39,,13,96.3400,17.4200
PR42,CM1-PR42,PR42,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR42,,13,79.3500,63.3500
OS02,CM1-OS02,OS02,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS02,,13,30.7100,13.3300
N2C302,IQF_line2,"IQF line 1",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929370,"In door",2ผลิต,N2,302,192.168.20.32,,Active,N2C302,,1,56.7400,32.6200
N1C2502,Shaker_line,"ถังเกลือ ไลน์ 1",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929289,"In door",2ผลิต,N1,2502,192.168.20.28,,Active,N1C2502,,1,59.9800,31.6800
N3C502,cutter_line_2,"สายพานลำเลียงไลน์ 1",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234269,"In door",2ผลิต,N3,502,192.168.20.59,,Active,N3C502,,1,69.7300,36.4300
N2C202,wash_line1,"ถังล้าง ไลน์ 1",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929359,"In door",2ผลิต,N2,202,192.168.20.31,,Active,N2C202,,1,63.1800,31.7200
N4C1602,Attendent_time,ลานรูดบัตร,Bullet,Hikvision,,,"Out door",2บุคคลฯ,N4,1602,192.168.20.93,,Active,N4C1602,,1,44.6300,49.0200
N4C1202,dress_room_PR,ตู้ล๊อกเกอร์ผลิต,Bullet,Hikvision,,,"In door",2ผลิต,N4,1202,192.168.20.71,,Active,N4C1202,,1,78.4500,29.0700
N1C2802,SB_shaker,"รางลำเลียง SB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929301,"In door",2แพคกิ้ง,N1,2802,192.168.20.21,,Active,N1C2802,,1,50.5600,40.3100
PA33,CM1-PA33,PA33,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA33,,13,39.9500,45.0000
PA22,CM1-PA22,PA22,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA22,,13,34.2500,33.2400
N4C802,CD11,"ห้องเย็น 11",Bullet,Hikvision,,,"In door",2สโตร์ฯ,N4,802,192.168.20.88,,Active,N4C802,,1,54.4100,32.6400
RM62,CM1-RM62,RM62,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM62,,13,90.0100,20.3200
PA31,CM1-PA31,PA31,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA31,,13,38.2800,46.2200
N3C302,select_line2,"สายพาน ไลน์ 2",Bullet,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234257,"In door",2ผลิต,N3,302,192.168.20.50,,Active,N3C302,,1,66.4000,30.0400
PA29,CM1-PA29,PA29,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA29,,13,38.2200,51.4900
N4C2202,fn_dry,"ลิฟท์ F/n Dry",Bullet,Hikvision,,,"In door",2สโตร์ฯ,N3,1702,192.168.20.98,,Active,N4C2202,,1,47.9200,34.3800
