asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N1C902,locker_room_pa,"ตู้ล๊อกเกอร์ แพคกิ้ง",Camera,Hikvision,DS-2CD2025FWD-I,I20200824AAWRE73014076,2แพคกิ้ง,192.168.20.10,,Active,,1,47.2700,41.1800
C38.0960,C38.0960,คเชนทร์,UPS,APC,800,DS-2CD3021G0-I20240821AAWRFM4617274,2เทคโนโลยีสารสนเทศ,,,Active,,1,53.5700,51.3200
N1C1702,GB_detector,"ตรวจสอบโลหะ GB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929273,2แพคกิ้ง,192.168.20.18,,Active,,1,50.4900,50.7500
CONNETTA51,CM1-CONNETTA51,CONNETTA51,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,88.7600,49.2300
N1C1902,receive_GB,"ตกเกรด GB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929353,2แพคกิ้ง,192.168.20.23,,Active,,1,52.0700,41.6200
N4C1702,font_packing,"ถนนหน้า แพคกิ้ง",Camera,Hikvision,,,2แพคกิ้ง,192.168.20.91,,Active,,1,46.3800,48.0200
PR72,CM1-PR72,PR72,Camera,Hikvision,,,1ผลิต,,,Active,,13,,
D4C402,Chem1,"ห้องเขี่ยเชื้อ Lab",Camera,Hikvision,,,2ห้องปฏิบัติการ,192.168.20.204,,Active,,4,26.8300,79.3400
N2C1802,Auto_F,"Auto F",Camera,Hikvision,DS-2CD1023G2-LIU,DS-2CD1023G2-LIU20251117AAWRGK8163825,2แพคกิ้ง,192.168.20.12,,Active,,1,53.8200,34.7500
ST18,CM1-ST18,ST18,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,12.1900,85.8100
PA30,CM1-PA30,PA30,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,38.3100,58.9400
N1C3102,Newload_W,"ลานห้องเย็นใหม่ ตะวันตก",Camera,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748741,2สโตร์ฯ,192.168.20.69,,Active,,1,35.8500,76.5500
N2C1102,Auto_B,"Auto B",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929384,2แพคกิ้ง,192.168.20.40,,Active,,1,51.4200,34.6700
OS12,CM1-OS12,OS12,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,20.8500,59.0100
RM66,CM1-RM66,RM66,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,64.7800,23.1200
N1C3202,New_engine_room,"ห้องเครื่อง โรงใหม่",Camera,Hikvision,DS-2CD1023G0E-I,I20210228AAWRF59489439,2เครื่องกล,192.168.20.70,,Active,,1,57.9900,72.9900
N1C2702,PA_hand-wash,"ล้างมือ แพคกิ้ง",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929346,2แพคกิ้ง,192.168.20.24,,Active,,1,49.8600,36.9100
PR45,CM1-PR45,PR45,Camera,Hikvision,,,1ผลิต,,,Active,,13,,
PR53,CM1-PR53,PR53,Camera,Hikvision,,,1ผลิต,,,Active,,13,,
